itag,H1706_t1 ,H1706_t2 ,H1706_t3 ,H1706_t4 ,H1706_t5 ,H1706_t6 ,H1706_t7 ,H9775_t1 ,H9775_t2 ,H9775_t3 ,H9775_t4 ,H9775_t5 ,H9775_t6 ,H9775_t7 ,H9553_t1 ,H9553_t2 ,H9553_t3 ,H9553_t4 ,H9553_t5 ,H9492_t1 ,H9492_t2 ,H9492_t3 ,H9492_t4 
Solyc05g053330,2.688807328,0.15155007,15.93921429,15.01237779,12.18550198,7.857637159,3.910196634,4.24616164,19.22755644,8.702676563,5.324172405,6.890150983,3.449010132,3.60795658,3.199124805,1.05736398,6.70965117,17.73436872,23.49253095,29.9626649,3.88898367,6.291125159,1.84741358
Solyc05g053680,163.6764123,148.8221687,227.527905,241.47028,212.8401013,199.6764266,123.2342617,233.7623724,236.3946086,160.3402227,171.3415483,219.0342733,300.6253482,191.5496948,155.4101155,214.4008808,189.7664385,251.7842472,239.3492277,219.0374124,217.7830855,184.0462497,125.0556885
Solyc05g053960,42.41498883,3.33410154,202.6557245,191.5986521,143.7889234,100.9937482,146.9477122,203.3687943,256.51647,89.92765782,90.02691521,145.4184497,143.4146539,43.82027265,27.36093583,3.497434702,12.25240648,219.818595,138.97205,81.88073081,19.79846232,34.78622147,1.989522317
Solyc05g054380,6.021413593,0.15155007,73.04013579,27.22583768,31.35735843,13.17309759,15.76692191,40.67375886,95.69062972,7.120371734,8.228266444,14.14294149,18.36798419,9.052691056,3.11493731,0.406678454,1.896205766,47.29164992,30.05213375,27.63797538,1.237403895,11.34869637,0
Solyc05g055030,9.391890384,2.87945133,57.1009215,34.09590887,48.09211449,41.36814857,2.774978257,59.89322734,74.37636173,23.2071375,20.9740125,42.06618495,42.43084558,32.01241475,11.19693682,2.684077795,17.21171387,60.64716216,38.59487228,28.41287189,10.78309108,21.34048338,2.984283475
Solyc05g056130,7.91493988,14.09415651,16.11437049,18.57463692,8.773561427,15.02195339,10.2169654,12.29152054,8.943049507,6.329219319,6.292203751,9.791267186,17.16484112,16.39980264,9.8499369,11.79367516,18.23274775,20.58062543,19.67880839,20.14730916,16.08625063,18.50330929,13.64243874
Solyc06g007670,86.00396396,139.2745143,218.770095,243.2514095,131.1160013,145.8285014,101.6651125,143.0286026,122.3707274,111.5524905,111.3236048,213.95732,184.5621468,153.2397558,115.5894305,130.2184409,164.3864537,211.2798249,202.5849422,196.4362643,196.3936753,168.8735361,125.1977972
Solyc06g008100,12.38366192,6.21355287,46.06608085,33.33256762,25.67079084,18.719665,17.28054642,22.79518354,17.14084489,16.61420071,16.77921,13.05502291,27.59208106,24.8621008,19.19474883,4.636134373,15.89895603,40.72336521,33.86585631,31.25415908,17.50042651,30.09871645,3.268500949
Solyc06g008265,0.795281041,0,4.378905023,4.58004746,4.874200793,3.697711604,2.018166005,2.90526849,2.682914852,2.900892188,1.774724135,2.175837152,2.005238449,2.492770001,2.778187331,0,3.500687567,8.757712947,6.559602798,5.03682729,4.59607161,11.47205176,0.284217474
Solyc06g008940,7.611975674,9.69920448,13.48702747,12.72235406,8.286141348,12.71088364,7.568122518,10.503663,8.644947856,5.801784376,7.582912213,11.96710434,12.35226884,12.26705237,10.52343686,10.24829704,9.335166846,16.85859742,12.66155889,12.91494177,10.78309108,11.34869637,8.384415478
Solyc06g060230,49.45890662,36.82666701,78.11966562,77.09746557,59.46524967,41.1370416,39.48037247,44.9199205,108.210899,34.81070625,40.8186551,36.62659207,30.47962442,71.63433792,146.0653036,16.7551523,33.40239387,63.93130452,48.05290422,31.25415908,31.11186936,61.92440843,47.89064434
Solyc06g062330,6.324377799,0.90930042,5.079529827,10.68677741,15.27249582,6.933209258,4.03633201,17.43161094,20.86711552,3.428327131,4.678818174,6.164871932,13.71583099,7.937504477,6.314062116,0.894692598,3.354825585,6.568284711,6.7121517,8.007263896,2.82835176,4.44079423,1.563196106
